locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
PA0801,,1,405,NE,Non
PA0802,,1,405,NE,Non
PA0803,,1,405,NE,Non
PA0804,,1,405,NE,Non
PA0805,,1,405,NE,Non
PA0806,,1,405,NE,Non
PA0807,ampDh3,1,405,NE,Non
PA0808,,1,405,NE,Non
PA0809,,1,405,NE,Non
PA0810,,1,405,NE,Non
PA0811,,1,405,NE,Non
PA0812,,1,405,NE,Non
PA0813,,1,405,NE,Non
PA0814,,1,405,NE,Non
PA0815,,1,405,NE,Non
PA0816,,1,405,NE,Non
PA0817,,1,405,NE,Non
PA0818,,1,405,NE,Non
PA0819,,1,405,NE,Non
PA0820,,1,405,NE,Non
PA0821,,1,405,NE,Non
PA0822,,1,405,NE,Non
PA0823,,1,405,NE,Non
PA0824,,1,405,NE,Non
PA0825,,1,405,NE,Non
PA0826,,1,405,NE,Non
PA0826.1,,1,405,NE,Non
PA0826.2,ssrA,1,405,NE,Non
PA0827,,1,405,NE,Non
PA0828,,1,405,NE,Non
PA0829,,1,405,NE,Non
PA0830,,1,405,NE,Non
PA0831,oruR,1,405,NE,Non
PA0832,,1,405,NE,Non
PA0833,,1,405,NE,Non
PA0834,,1,405,NE,Non
PA0835,pta,1,405,NE,Non
PA0836,ackA,1,405,NE,Non
PA0836.1,,1,405,NE,Non
PA0837,slyD,1,405,NE,Non
PA0838,,1,405,NE,Non
PA0839,,1,405,NE,Non
PA0840,,1,405,NE,Non
PA0841,,1,405,NE,Non
PA0842,,1,405,NE,Non
PA0843,plcR,1,405,NE,Non
PA0844,plcH,1,405,NE,Non
PA0845,,1,405,NE,Non
PA0846,,1,405,NE,Non
PA0847,,1,405,NE,Non
PA0848,,1,405,NE,Non
PA0849,trxB2,1,405,NE,Non
PA0850,,1,405,NE,Non
PA0851,,1,405,NE,Non
PA0852,cbpD,1,405,NE,Non
PA0853,,1,405,NE,Non
PA0854,fumC2,1,405,NE,Non
PA0855,,1,405,NE,Non
PA0856,,1,405,NE,Non
PA0857,bolA,1,405,NE,Non
"PA0858,,2,""405,421"",""NE,E"",Conditional"
PA0859,,1,405,NE,Non
PA0860,,1,405,NE,Non
PA0861,,1,405,NE,Non
PA0862,,1,405,NE,Non
PA0863,,1,405,NE,Non
PA0864,,1,405,NE,Non
PA0865,hpd,1,405,NE,Non
PA0866,aroP2,1,405,NE,Non
PA0867,mliC,1,405,NE,Non
PA0868,,1,405,NE,Non
PA0869,pbpG,1,405,NE,Non
PA0870,phhC,1,405,NE,Non
PA0871,phhB,1,405,NE,Non
PA0872,phhA,1,405,NE,Non
PA0873,phhR,1,405,NE,Non
PA0874,,1,405,NE,Non
PA0875,,1,405,NE,Non
PA0876,,1,405,NE,Non
PA0877,,1,405,NE,Non
PA0878,,1,405,NE,Non
PA0879,,1,405,NE,Non
PA0880,,1,405,NE,Non
PA0881,,1,405,NE,Non
PA0882,,1,405,NE,Non
PA0883,,1,405,NE,Non
PA0884,,1,405,NE,Non
PA0885,,1,405,NE,Non
PA0886,,1,405,NE,Non
PA0887,acsA,1,405,NE,Non
PA0887.1,,1,405,NE,Non
PA0888,aotJ,1,405,NE,Non
PA0889,aotQ,1,405,NE,Non
PA0890,aotM,1,405,NE,Non
PA0891,,1,405,NE,Non
PA0892,aotP,1,405,NE,Non
PA0893,argR,1,405,NE,Non
PA0894,,1,405,NE,Non
PA0895,aruC,1,405,NE,Non
PA0896,aruF,1,405,NE,Non
PA0897,aruG,1,405,NE,Non
PA0898,aruD,1,405,NE,Non
PA0899,aruB,1,405,NE,Non
PA0900,,1,405,NE,Non
PA0901,aruE,1,405,NE,Non
PA0902,,1,405,NE,Non
PA0903,alaS,1,405,E,Essential
PA0904,lysC,1,405,E,Essential
PA0905,rsmA,1,405,NE,Non
PA0906,,1,405,E,Essential
PA0907,,1,405,NE,Non
PA0908,,1,405,NE,Non
PA0909,,1,405,NE,Non
PA0910,,1,405,NE,Non
PA0911,,1,405,NE,Non
PA0912,,1,405,NE,Non
PA0913,mgtE,1,405,NE,Non
PA0914,,1,405,NE,Non
PA0915,,1,405,NE,Non
PA0916,,1,405,NE,Non
PA0917,kup,1,405,NE,Non
PA0918,,1,405,NE,Non
PA0919,,1,405,NE,Non
PA0920,,1,405,NE,Non
PA0921,,1,405,NE,Non
PA0922,,1,405,NE,Non
PA0923,dinB,1,405,NE,Non
PA0924,,1,405,NE,Non
PA0925,,1,405,NE,Non
PA0926,,1,405,NE,Non
PA0927,ldhA,1,405,NE,Non
PA0928,gacS,1,405,NE,Non
PA0929,,1,405,NE,Non
PA0930,,1,405,NE,Non
PA0931,pirA,1,405,NE,Non
PA0932,cysM,1,405,NE,Non
PA0933,ygcA,1,405,NE,Non
"PA0934,relA,2,""405,421"",""NE,E"",Conditional"
PA0935,,1,405,NE,Non
PA0936,lpxO2,1,405,NE,Non
PA0937,,1,405,NE,Non
PA0938,,1,405,NE,Non
PA0939,,1,405,NE,Non
PA0940,,1,405,NE,Non
PA0941,,1,405,NE,Non
PA0942,,1,405,NE,Non
PA0943,,1,405,NE,Non
PA0944,purN,1,405,NE,Non
PA0945,purM,1,405,NE,Non
PA0946,,1,405,NE,Non
PA0947,,1,405,E,Essential
PA0948,,1,405,NE,Non
PA0949,wrbA,1,405,NE,Non
PA0950,,1,405,NE,Non
PA0951,,1,405,NE,Non
PA0952,,1,405,NE,Non
PA0953,,1,405,NE,Non
PA0954,,1,405,NE,Non
PA0955,,1,405,NE,Non
PA0956,proS,1,405,E,Essential
PA0957,,1,405,NE,Non
PA0958,oprD,1,405,NE,Non
PA0959,,1,405,NE,Non
PA0960,,1,405,NE,Non
PA0961,,1,405,NE,Non
PA0962,,1,405,NE,Non
PA0963,aspS,1,405,E,Essential
PA0964,pmpR,1,405,NE,Non
PA0965,ruvC,1,405,NE,Non
"PA0966,ruvA,2,""405,421"",""NE,E"",Conditional"
"PA0967,ruvB,2,""421,405"",""E,NE"",Conditional"
PA0968,,1,405,NE,Non
PA0969,tolQ,1,405,E,Essential
PA0970,tolR,1,405,E,Essential
PA0971,tolA,1,405,E,Essential
PA0972,tolB,1,405,E,Essential
PA0973,oprL,1,405,NE,Non
PA0974,,1,405,NE,Non
PA0975,,1,405,NE,Non
PA0976,,1,405,NE,Non
PA0977,,1,405,NE,Non
PA0978,,1,405,NE,Non
PA0979,,1,405,NE,Non
PA0980,,1,405,NE,Non
PA0981,,1,405,NE,Non
PA0982,,1,405,NE,Non
PA0983,,1,405,NE,Non
PA0984,,1,405,NE,Non
PA0985,pyoS5,1,405,NE,Non
PA0986,,1,405,NE,Non
PA0987,,1,405,NE,Non
PA0988,,1,405,NE,Non
PA0989,,1,405,NE,Non
PA0990,,1,405,NE,Non
PA0991,,1,405,NE,Non
PA0992,cupC1,1,405,NE,Non
PA0993,cupC2,1,405,NE,Non
PA0994,cupC3,1,405,NE,Non
PA0995,ogt,1,405,NE,Non
PA0996,pqsA,1,405,NE,Non
PA0997,pqsB,1,405,NE,Non
PA0998,pqsC,1,405,NE,Non
PA0999,pqsD,1,405,NE,Non
PA1000,pqsE,1,405,NE,Non
PA1001,phnA,1,405,NE,Non
PA1002,phnB,1,405,NE,Non
PA1003,mvfR,1,405,NE,Non
PA1004,nadA,1,405,NE,Non
PA1005,,1,405,NE,Non
PA1006,,1,405,NE,Non
PA1007,,1,405,NE,Non
PA1008,bcp,1,405,NE,Non
PA1009,,1,405,NE,Non
PA1010,dapA,1,405,E,Essential
PA1011,,1,405,NE,Non
PA1012,,1,405,NE,Non
PA1013,purC,1,405,NE,Non
PA1014,,1,405,NE,Non
PA1015,,1,405,NE,Non
PA1016,,1,405,NE,Non
PA1017,pauA,1,405,NE,Non
PA1018,,1,405,NE,Non
PA1019,mucK,1,405,NE,Non
PA1020,,1,405,NE,Non
PA1021,,1,405,NE,Non
PA1022,,1,405,NE,Non
PA1023,,1,405,NE,Non
PA1024,,1,405,NE,Non
PA1025,,1,405,NE,Non
PA1026,,1,405,NE,Non
PA1027,,1,405,NE,Non
PA1028,,1,405,NE,Non
PA1029,,1,405,NE,Non
PA1030,,1,405,NE,Non
PA1030.1,,1,405,NE,Non
PA1031,,1,405,NE,Non
PA1032,quiP,1,405,NE,Non
PA1033,,1,405,NE,Non
PA1034,,1,405,NE,Non
PA1035,,1,405,NE,Non
PA1036,,1,405,NE,Non
PA1037,,1,405,NE,Non
PA1038,,1,405,NE,Non
PA1039,,1,405,NE,Non
PA1040,,1,405,NE,Non
PA1041,,1,405,NE,Non
PA1042,,1,405,NE,Non
PA1043,,1,405,NE,Non
PA1044,,1,405,NE,Non
PA1045,,1,405,NE,Non
PA1046,,1,405,NE,Non
PA1047,,1,405,NE,Non
PA1048,,1,405,NE,Non
PA1049,pdxH,1,405,NE,Non
PA1050,,1,405,NE,Non
PA1051,,1,405,NE,Non
PA1052,,1,405,NE,Non
PA1053,,1,405,NE,Non
PA1054,,1,405,NE,Non
PA1055,,1,405,NE,Non
PA1056,,1,405,E,Essential
PA1057,,1,405,NE,Non
PA1058,,1,405,NE,Non
PA1059,,1,405,E,Essential
PA1060,,1,405,NE,Non
PA1061,,1,405,NE,Non
PA1062,,1,405,NE,Non
PA1063,,1,405,NE,Non
PA1064,,1,405,NE,Non
PA1065,,1,405,NE,Non
PA1066,,1,405,NE,Non
PA1067,,1,405,NE,Non
PA1068,,1,405,NE,Non
PA1069,,1,405,NE,Non
PA1070,braG,1,405,NE,Non
PA1071,braF,1,405,NE,Non
PA1072,braE,1,405,NE,Non
PA1073,braD,1,405,NE,Non
PA1074,braC,1,405,NE,Non
PA1075,,1,405,NE,Non
PA1076,,1,405,NE,Non
PA1077,flgB,1,405,NE,Non
PA1078,flgC,1,405,NE,Non
PA1079,flgD,1,405,NE,Non
PA1080,flgE,1,405,NE,Non
PA1081,flgF,1,405,NE,Non
PA1082,flgG,1,405,NE,Non
PA1083,flgH,1,405,NE,Non
PA1084,flgI,1,405,NE,Non
PA1085,flgJ,1,405,NE,Non
PA1086,flgK,1,405,NE,Non
PA1087,flgL,1,405,NE,Non
PA1088,,1,405,NE,Non
PA1089,,1,405,NE,Non
PA1090,,1,405,NE,Non
PA1091,fgtA,1,405,NE,Non
PA1092,fliC,1,405,NE,Non
PA1093,,1,405,NE,Non
PA1094,fliD,1,405,NE,Non
PA1095,,1,405,NE,Non
PA1096,,1,405,NE,Non
PA1097,fleQ,1,405,NE,Non
PA1098,fleS,1,405,NE,Non
PA1099,fleR,1,405,NE,Non
PA1100,fliE,1,405,NE,Non
PA1101,fliF,1,405,NE,Non
PA1102,fliG,1,405,NE,Non
PA1103,,1,405,NE,Non
PA1104,fliI,1,405,NE,Non
PA1105,fliJ,1,405,NE,Non
PA1106,,1,405,NE,Non
PA1107,,1,405,NE,Non
PA1108,,1,405,NE,Non
PA1109,,1,405,NE,Non
PA1110,,1,405,NE,Non
PA1111,,1,405,NE,Non
PA1112,,1,405,NE,Non
PA1112.1,,1,405,NE,Non
PA1113,,1,405,NE,Non
PA1114,,1,405,NE,Non
PA1115,,1,405,NE,Non
PA1116,,1,405,NE,Non
PA1117,,1,405,NE,Non
PA1118,,1,405,NE,Non
PA1119,yfiB,1,405,NE,Non
PA1120,tpbB,1,405,NE,Non
PA1121,yfiR,1,405,NE,Non
PA1122,,1,405,NE,Non
PA1123,,1,405,NE,Non
PA1124,dgt,1,405,NE,Non
PA1125,,1,405,NE,Non
PA1126,,1,405,NE,Non
PA1127,,1,405,NE,Non
PA1128,,1,405,NE,Non
PA1129,,1,405,NE,Non
PA1130,rhlC,1,405,NE,Non
PA1131,,1,405,NE,Non
PA1132,,1,405,NE,Non
PA1133,,1,405,NE,Non
PA1134,,1,405,NE,Non
PA1135,,1,405,NE,Non
PA1136,,1,405,NE,Non
PA1137,,1,405,NE,Non
PA1138,,1,405,NE,Non
PA1139,,1,405,NE,Non
PA1140,,1,405,NE,Non
PA1141,,1,405,NE,Non
PA1142,,1,405,NE,Non
PA1143,,1,405,NE,Non
PA1144,,1,405,NE,Non
PA1145,,1,405,NE,Non
PA1146,,1,405,NE,Non
PA1147,,1,405,NE,Non
PA1148,toxA,1,405,NE,Non
PA1149,,1,405,NE,Non
PA1150,pys2,1,405,NE,Non
PA1151,imm2,1,405,NE,Non
PA1152,,1,405,NE,Non
PA1153,,1,405,NE,Non
PA1154,,1,405,NE,Non
PA1155,nrdB,1,405,E,Essential
PA1156,nrdA,1,405,E,Essential
PA1157,,1,405,NE,Non
PA1158,,1,405,NE,Non
PA1159,,1,405,NE,Non
PA1160,,1,405,NE,Non
PA1161,rrmA,1,405,NE,Non
PA1162,dapE,1,405,E,Essential
PA1163,ndvB,1,405,NE,Non
PA1164,,1,405,NE,Non
PA1165,pcpS,1,405,NE,Non
PA1166,,1,405,NE,Non
PA1167,,1,405,NE,Non
PA1168,,1,405,NE,Non
PA1169,,1,405,NE,Non
PA1170,,1,405,NE,Non
PA1171,,1,405,NE,Non
PA1172,napC,1,405,NE,Non
PA1173,napB,1,405,NE,Non
PA1174,napA,1,405,NE,Non
PA1175,napD,1,405,NE,Non
PA1176,napF,1,405,NE,Non
PA1177,napE,1,405,NE,Non
PA1178,oprH,1,405,NE,Non
PA1179,phoP,1,405,NE,Non
PA1180,phoQ,1,405,NE,Non
PA1181,,1,405,NE,Non
PA1182,,1,405,NE,Non
"PA1183,dctA,2,""405,421"",""NE,E"",Conditional"
PA1184,,1,405,NE,Non
PA1185,,1,405,NE,Non
PA1186,,1,405,NE,Non
PA1187,,1,405,NE,Non
PA1188,,1,405,NE,Non
PA1189,,1,405,NE,Non
PA1190,,1,405,NE,Non
PA1191,,1,405,NE,Non
PA1192,,1,405,NE,Non
PA1193,,1,405,NE,Non
PA1194,,1,405,NE,Non
PA1195,,1,405,NE,Non
PA1196,,1,405,NE,Non
PA1197,,1,405,NE,Non
PA1198,,1,405,NE,Non
PA1199,,1,405,NE,Non
PA1200,,1,405,NE,Non
PA1201,,1,405,NE,Non
PA1202,,1,405,NE,Non
PA1203,,1,405,NE,Non
PA1204,,1,405,NE,Non
PA1205,,1,405,NE,Non
PA1206,,1,405,NE,Non
PA1207,kefB,1,405,NE,Non
PA1208,,1,405,NE,Non
PA1209,,1,405,NE,Non
PA1210,,1,405,NE,Non
PA1211,,1,405,NE,Non
PA1212,,1,405,NE,Non
PA1213,,1,405,NE,Non
PA1214,,1,405,NE,Non
PA1215,,1,405,NE,Non
PA1216,,1,405,NE,Non
PA1217,,1,405,NE,Non
PA1218,,1,405,NE,Non
PA1219,,1,405,NE,Non
PA1220,,1,405,NE,Non
PA1221,,1,405,NE,Non
PA1222,,1,405,NE,Non
PA1223,,1,405,NE,Non
PA1224,,1,405,NE,Non
PA1225,,1,405,NE,Non
PA1226,,1,405,NE,Non
PA1227,,1,405,NE,Non
PA1228,,1,405,NE,Non
PA1229,,1,405,NE,Non
PA1230,,1,405,NE,Non
PA1231,,1,405,NE,Non
PA1232,,1,405,NE,Non
PA1233,,1,405,NE,Non
PA1234,,1,405,NE,Non
PA1235,,1,405,NE,Non
PA1236,,1,405,NE,Non
PA1237,,1,405,NE,Non
PA1238,,1,405,NE,Non
PA1239,,1,405,NE,Non
PA1240,,1,405,NE,Non
PA1241,,1,405,NE,Non
PA1242,,1,405,NE,Non
PA1243,,1,405,NE,Non
PA1244,,1,405,NE,Non
PA1245,,1,405,NE,Non
PA1246,aprD,1,405,NE,Non
PA1247,aprE,1,405,NE,Non
PA1248,aprF,1,405,NE,Non
PA1249,aprA,1,405,NE,Non
PA1250,aprI,1,405,NE,Non
PA1251,,1,405,NE,Non
PA1252,,1,405,NE,Non
PA1253,,1,405,NE,Non
PA1254,,1,405,NE,Non
PA1255,,1,405,NE,Non
PA1256,,1,405,NE,Non
PA1257,,1,405,NE,Non
PA1258,,1,405,NE,Non
PA1259,,1,405,NE,Non
PA1260,,1,405,NE,Non
PA1261,,1,405,NE,Non
PA1262,,1,405,NE,Non
PA1263,,1,405,NE,Non
PA1264,,1,405,NE,Non
PA1265,,1,405,NE,Non
PA1266,,1,405,NE,Non
PA1267,,1,405,NE,Non
PA1268,,1,405,NE,Non
PA1269,,1,405,NE,Non
PA1270,,1,405,NE,Non
PA1271,,1,405,NE,Non
PA1272,cobO,1,405,NE,Non
PA1273,cobB,1,405,NE,Non
PA1274,,1,405,NE,Non
PA1275,cobD,1,405,NE,Non
PA1276,cobC,1,405,NE,Non
PA1277,cobQ,1,405,NE,Non
PA1278,cobP,1,405,NE,Non
PA1279,cobU,1,405,NE,Non
PA1280,,1,405,NE,Non
PA1281,cobV,1,405,NE,Non
PA1282,,1,405,NE,Non
PA1283,,1,405,NE,Non
PA1284,,1,405,NE,Non
PA1285,,1,405,NE,Non
PA1286,,1,405,NE,Non
PA1287,,1,405,NE,Non
PA1288,,1,405,NE,Non
PA1289,,1,405,NE,Non
PA1290,,1,405,NE,Non
PA1291,,1,405,NE,Non
PA1292,,1,405,NE,Non
PA1293,,1,405,NE,Non
PA1294,rnd,1,405,NE,Non
PA1295,,1,405,NE,Non
PA1296,,1,405,NE,Non
PA1297,,1,405,NE,Non
PA1298,,1,405,NE,Non
PA1299,,1,405,NE,Non
PA1300,,1,405,NE,Non
PA1301,,1,405,NE,Non
PA1302,,1,405,NE,Non
PA1303,,1,405,NE,Non
PA1304,,1,405,NE,Non
PA1305,,1,405,NE,Non
PA1306,,1,405,NE,Non
PA1307,,1,405,NE,Non
PA1308,,1,405,NE,Non
PA1309,,1,405,NE,Non
PA1310,phnW,1,405,NE,Non
PA1311,phnX,1,405,NE,Non
PA1312,,1,405,NE,Non
PA1313,,1,405,NE,Non
PA1314,,1,405,NE,Non
PA1315,,1,405,NE,Non
PA1316,,1,405,NE,Non
PA1317,cyoA,1,405,NE,Non
PA1318,cyoB,1,405,NE,Non
PA1319,cyoC,1,405,NE,Non
PA1320,cyoD,1,405,NE,Non
PA1321,cyoE,1,405,NE,Non
PA1322,,1,405,NE,Non
PA1323,,1,405,NE,Non
PA1324,,1,405,NE,Non
PA1324.1,,1,405,NE,Non
PA1325,,1,405,NE,Non
PA1326,ilvA2,1,405,NE,Non
PA1327,,1,405,NE,Non
PA1328,,1,405,NE,Non
PA1329,,1,405,NE,Non
PA1330,,1,405,NE,Non
PA1331,,1,405,NE,Non
PA1332,,1,405,NE,Non
PA1333,,1,405,NE,Non
PA1334,,1,405,NE,Non
PA1335,,1,405,NE,Non
PA1336,,1,405,NE,Non
PA1337,ansB,1,405,NE,Non
PA1338,ggt,1,405,NE,Non
PA1339,,1,405,NE,Non
PA1340,,1,405,NE,Non
PA1341,,1,405,NE,Non
PA1342,,1,405,NE,Non
PA1343,,1,405,NE,Non
PA1344,,1,405,NE,Non
PA1345,,1,405,NE,Non
PA1346,,1,405,NE,Non
PA1347,,1,405,NE,Non
PA1348,,1,405,NE,Non
PA1349,,1,405,NE,Non
PA1350,,1,405,NE,Non
PA1351,,1,405,NE,Non
PA1352,,1,405,NE,Non
PA1353,,1,405,NE,Non
PA1354,,1,405,NE,Non
PA1355,,1,405,NE,Non
PA1356,,1,405,NE,Non
PA1357,,1,405,NE,Non
PA1358,,1,405,NE,Non
PA1359,,1,405,NE,Non
PA1360,,1,405,NE,Non
PA1361,,1,405,NE,Non
PA1362,,1,405,NE,Non
PA1363,,1,405,NE,Non
PA1364,,1,405,NE,Non
PA1365,,1,405,NE,Non
PA1366,,1,405,NE,Non
PA1367,,1,405,NE,Non
PA1368,,1,405,NE,Non
PA1369,,1,405,NE,Non
PA1370,,1,405,NE,Non
PA1371,,1,405,NE,Non
PA1372,,1,405,NE,Non
PA1373,fabF2,1,405,NE,Non
PA1374,,1,405,NE,Non
PA1375,pdxB,1,405,E,Essential
PA1376,aceK,1,405,NE,Non
PA1377,,1,405,NE,Non
PA1378,,1,405,NE,Non
PA1379,,1,405,NE,Non
PA1380,,1,405,NE,Non
PA1381,,1,405,NE,Non
PA1382,,1,405,NE,Non
PA1383,,1,405,NE,Non
PA1384,galE,1,405,NE,Non
PA1385,,1,405,NE,Non
PA1386,,1,405,NE,Non
PA1387,,1,405,NE,Non
PA1388,,1,405,NE,Non
PA1389,,1,405,NE,Non
PA1390,,1,405,NE,Non
PA1391,,1,405,NE,Non
PA1392,,1,405,NE,Non
PA1393,cysC,1,405,NE,Non
PA1394,,1,405,NE,Non
PA1395,,1,405,NE,Non
PA1396,,1,405,NE,Non
PA1397,,1,405,NE,Non
PA1398,,1,405,NE,Non
PA1399,,1,405,NE,Non
PA1400,,1,405,NE,Non
PA1401,,1,405,NE,Non
PA1402,,1,405,NE,Non
PA1403,,1,405,NE,Non
PA1404,,1,405,NE,Non
PA1405,,1,405,NE,Non
PA1406,,1,405,NE,Non
PA1407,,1,405,NE,Non
PA1408,,1,405,NE,Non
PA1409,aphA,1,405,NE,Non
PA1410,,1,405,NE,Non
PA1411,,1,405,NE,Non
PA1412,,1,405,NE,Non
PA1413,,1,405,NE,Non
PA1414,,1,405,NE,Non
PA1415,,1,405,NE,Non
PA1416,,1,405,NE,Non
PA1417,,1,405,NE,Non
PA1418,,1,405,NE,Non
PA1419,,1,405,NE,Non
PA1420,,1,405,NE,Non
PA1421,gbuA,1,405,NE,Non
PA1422,gbuR,1,405,NE,Non
PA1423,bdlA,1,405,NE,Non
PA1424,,1,405,NE,Non
PA1425,,1,405,NE,Non
PA1426,,1,405,NE,Non
PA1427,,1,405,NE,Non
PA1428,,1,405,NE,Non
PA1429,,1,405,NE,Non
PA1430,lasR,1,405,NE,Non
PA1431,rsaL,1,405,NE,Non
PA1432,lasI,1,405,NE,Non
PA1433,,1,405,NE,Non
PA1434,,1,405,NE,Non
PA1435,,1,405,NE,Non
PA1436,,1,405,NE,Non
PA1437,,1,405,NE,Non
PA1438,,1,405,NE,Non
PA1439,,1,405,NE,Non
PA1440,,1,405,NE,Non
PA1441,,1,405,NE,Non
PA1442,,1,405,NE,Non
PA1443,fliM,1,405,NE,Non
PA1444,fliN,1,405,NE,Non
PA1445,fliO,1,405,NE,Non
PA1446,fliP,1,405,NE,Non
PA1447,fliQ,1,405,NE,Non
PA1448,fliR,1,405,NE,Non
PA1449,flhB,1,405,NE,Non
PA1450,,1,405,NE,Non
PA1451,,1,405,NE,Non
PA1452,flhA,1,405,NE,Non
PA1453,flhF,1,405,NE,Non
PA1454,fleN,1,405,NE,Non
PA1455,fliA,1,405,NE,Non
PA1456,cheY,1,405,NE,Non
PA1457,cheZ,1,405,NE,Non
PA1458,,1,405,NE,Non
PA1459,,1,405,NE,Non
PA1460,motC,1,405,NE,Non
PA1461,motD,1,405,NE,Non
PA1462,,1,405,NE,Non
PA1463,,1,405,NE,Non
PA1464,,1,405,NE,Non
PA1465,,1,405,NE,Non
PA1466,,1,405,NE,Non
PA1467,,1,405,NE,Non
PA1468,,1,405,NE,Non
PA1469,,1,405,NE,Non
PA1470,,1,405,NE,Non
PA1471,,1,405,NE,Non
PA1472,,1,405,NE,Non
PA1473,,1,405,NE,Non
PA1474,,1,405,NE,Non
PA1475,ccmA,1,405,E,Essential
PA1476,ccmB,1,405,NE,Non
PA1477,ccmC,1,405,NE,Non
PA1478,,1,405,NE,Non
PA1479,ccmE,1,405,NE,Non
PA1480,ccmF,1,405,NE,Non
PA1481,ccmG,1,405,NE,Non
PA1482,ccmH,1,405,NE,Non
PA1483,cycH,1,405,NE,Non
PA1484,,1,405,NE,Non
PA1485,,1,405,NE,Non
PA1486,,1,405,NE,Non
PA1487,,1,405,NE,Non
PA1488,,1,405,NE,Non
PA1489,,1,405,NE,Non
PA1490,,1,405,NE,Non
PA1491,,1,405,NE,Non
PA1492,,1,405,NE,Non
PA1493,cysP,1,405,NE,Non
PA1494,,1,405,NE,Non
PA1495,,1,405,NE,Non
PA1496,,1,405,NE,Non
PA1497,,1,405,NE,Non
PA1498,pykF,1,405,NE,Non
PA1499,,1,405,NE,Non
PA1500,,1,405,NE,Non
PA1501,,1,405,NE,Non
PA1502,gcl,1,405,NE,Non
PA1503,,1,405,NE,Non
PA1504,,1,405,NE,Non
PA1505,moaA2,1,405,NE,Non
PA1506,,1,405,NE,Non
PA1507,,1,405,NE,Non
PA1508,,1,405,NE,Non
PA1509,,1,405,NE,Non
PA1510,,1,405,NE,Non
PA1511,,1,405,NE,Non
PA1512,hcpA,1,405,NE,Non
PA1513,,1,405,NE,Non
PA1514,,1,405,NE,Non
PA1515,alc,1,405,NE,Non
PA1516,,1,405,NE,Non
PA1517,,1,405,NE,Non
PA1518,,1,405,NE,Non
PA1519,,1,405,NE,Non
PA1520,,1,405,NE,Non
PA1521,,1,405,NE,Non
PA1522,,1,405,NE,Non
PA1523,xdhB,1,405,NE,Non
PA1524,xdhA,1,405,NE,Non
PA1525,alkB2,1,405,NE,Non
PA1526,,1,405,NE,Non
PA1527,,1,405,NE,Non
PA1528,zipA,1,405,E,Essential
PA1529,lig,1,405,E,Essential
PA1530,,1,405,NE,Non
PA1531,,1,405,NE,Non
PA1532,dnaX,1,405,E,Essential
PA1533,,1,405,NE,Non
PA1534,recR,1,405,NE,Non
PA1535,,1,405,NE,Non
PA1536,,1,405,NE,Non
PA1537,,1,405,NE,Non
PA1538,,1,405,NE,Non
PA1539,,1,405,NE,Non
PA1540,,1,405,NE,Non
PA1541,,1,405,NE,Non
PA1542,,1,405,NE,Non
PA1543,apt,1,405,NE,Non
PA1544,anr,1,405,NE,Non
PA1545,,1,405,NE,Non
PA1546,hemN,1,405,NE,Non
PA1547,,1,405,NE,Non
PA1548,,1,405,NE,Non
PA1549,,1,405,NE,Non
PA1550,,1,405,NE,Non
PA1551,,1,405,NE,Non
PA1552,ccoP1,1,405,NE,Non
PA1552.1,ccoQ1,1,405,NE,Non
PA1553,ccoO1,1,405,NE,Non
PA1554,ccoN1,1,405,NE,Non
PA1555,ccoP2,1,405,NE,Non
PA1555.1,ccoQ2,1,405,NE,Non
PA1556,ccoO2,1,405,NE,Non
PA1557,ccoN2,1,405,NE,Non
PA1558,,1,405,NE,Non
PA1559,,1,405,NE,Non
PA1560,,1,405,NE,Non
PA1561,aer,1,405,NE,Non
PA1562,acnA,1,405,NE,Non
PA1563,,1,405,NE,Non
PA1564,,1,405,NE,Non
PA1565,,1,405,NE,Non
PA1566,,1,405,NE,Non
PA1567,,1,405,NE,Non
PA1568,,1,405,NE,Non
PA1569,,1,405,NE,Non
PA1570,,1,405,NE,Non
PA1571,,1,405,NE,Non
PA1572,,1,405,NE,Non
PA1573,,1,405,NE,Non
PA1574,,1,405,NE,Non
PA1575,,1,405,NE,Non
PA1576,,1,405,NE,Non
PA1577,,1,405,NE,Non
PA1578,,1,405,NE,Non
PA1579,,1,405,NE,Non
PA1580,gltA,1,405,NE,Non
PA1581,sdhC,1,405,E,Essential
PA1582,sdhD,1,405,E,Essential
PA1583,sdhA,1,405,E,Essential
PA1584,sdhB,1,405,E,Essential
PA1585,sucA,1,405,E,Essential
PA1586,sucB,1,405,E,Essential
PA1587,lpdG,1,405,E,Essential
PA1588,sucC,1,405,E,Essential
PA1589,sucD,1,405,E,Essential
PA1590,braB,1,405,NE,Non
PA1591,,1,405,NE,Non
PA1592,,1,405,NE,Non
PA1593,,1,405,NE,Non
PA1594,,1,405,NE,Non
PA1595,,1,405,NE,Non
PA1596,htpG,1,405,NE,Non
PA1597,,1,405,NE,Non
PA1598,,1,405,NE,Non
PA1599,,1,405,NE,Non
PA1600,,1,405,NE,Non
PA1601,,1,405,NE,Non
PA1602,,1,405,NE,Non
PA1603,,1,405,NE,Non
PA1604,,1,405,NE,Non
PA1605,,1,405,NE,Non
PA1606,,1,405,NE,Non
PA1607,,1,405,NE,Non
PA1608,,1,405,NE,Non
PA1609,fabB,1,405,E,Essential
PA1610,fabA,1,405,E,Essential
PA1611,,1,405,NE,Non
