locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
PA0185,,1,405,NE,Non
PA0186,,1,405,NE,Non
PA0187,,1,405,NE,Non
PA0188,,1,405,NE,Non
PA0189,,1,405,NE,Non
PA0190,,1,405,NE,Non
PA0191,,1,405,NE,Non
PA0192,,1,405,NE,Non
PA0193,,1,405,NE,Non
PA0194,,1,405,NE,Non
PA0195,pntAA,1,405,NE,Non
PA0195.1,pntAB,1,405,NE,Non
PA0196,pntB,1,405,NE,Non
PA0197,tonB2,1,405,NE,Non
PA0198,exbB1,1,405,NE,Non
PA0199,exbD1,1,405,NE,Non
PA0200,,1,405,NE,Non
PA0201,,1,405,NE,Non
PA0202,,1,405,NE,Non
PA0203,,1,405,NE,Non
PA0204,,1,405,NE,Non
PA0205,,1,405,NE,Non
PA0206,,1,405,NE,Non
PA0207,,1,405,NE,Non
PA0208,mdcA,1,405,NE,Non
PA0209,,1,405,NE,Non
PA0210,mdcC,1,405,NE,Non
PA0211,mdcD,1,405,NE,Non
PA0212,mdcE,1,405,NE,Non
PA0213,,1,405,NE,Non
PA0214,,1,405,NE,Non
PA0215,,1,405,NE,Non
PA0216,,1,405,NE,Non
PA0217,,1,405,NE,Non
PA0218,,1,405,NE,Non
PA0219,,1,405,NE,Non
PA0220,,1,405,NE,Non
PA0221,,1,405,NE,Non
PA0222,,1,405,NE,Non
PA0223,,1,405,NE,Non
PA0224,,1,405,NE,Non
PA0225,,1,405,NE,Non
PA0226,,1,405,NE,Non
PA0227,,1,405,NE,Non
PA0228,pcaF,1,405,NE,Non
PA0229,pcaT,1,405,NE,Non
PA0230,pcaB,1,405,NE,Non
PA0231,pcaD,1,405,NE,Non
PA0232,pcaC,1,405,NE,Non
PA0233,,1,405,NE,Non
PA0234,,1,405,NE,Non
PA0235,pcaK,1,405,NE,Non
PA0236,,1,405,NE,Non
PA0237,,1,405,NE,Non
PA0238,,1,405,NE,Non
PA0239,,1,405,NE,Non
PA0240,,1,405,NE,Non
PA0241,,1,405,NE,Non
PA0242,,1,405,NE,Non
PA0243,,1,405,NE,Non
PA0244,,1,405,NE,Non
PA0245,aroQ2,1,405,NE,Non
PA0246,,1,405,NE,Non
PA0247,pobA,1,405,NE,Non
PA0248,,1,405,NE,Non
PA0249,,1,405,NE,Non
PA0250,,1,405,NE,Non
PA0251,,1,405,NE,Non
PA0252,,1,405,NE,Non
PA0253,,1,405,NE,Non
PA0254,,1,405,NE,Non
PA0255,,1,405,NE,Non
PA0256,,1,405,NE,Non
PA0257,,1,405,NE,Non
PA0258,,1,405,NE,Non
PA0259,,1,405,NE,Non
PA0260,,1,405,NE,Non
PA0261,,1,405,NE,Non
PA0262,,1,405,NE,Non
PA0263,hcpC,1,405,NE,Non
PA0264,,1,405,NE,Non
PA0265,gabD,1,405,NE,Non
PA0266,gabT,1,405,NE,Non
PA0267,,1,405,NE,Non
PA0268,,1,405,NE,Non
PA0269,,1,405,NE,Non
PA0270,,1,405,NE,Non
PA0271,,1,405,NE,Non
PA0272,,1,405,NE,Non
PA0273,,1,405,NE,Non
PA0274,,1,405,NE,Non
PA0275,,1,405,NE,Non
PA0276,,1,405,NE,Non
PA0277,,1,405,NE,Non
PA0278,,1,405,NE,Non
PA0279,,1,405,NE,Non
PA0280,cysA,1,405,NE,Non
PA0281,cysW,1,405,NE,Non
PA0282,cysT,1,405,NE,Non
PA0283,sbp,1,405,NE,Non
PA0284,,1,405,NE,Non
PA0285,,1,405,NE,Non
PA0286,desA,1,405,NE,Non
PA0287,gpuP,1,405,NE,Non
PA0288,gpuA,1,405,NE,Non
PA0289,gpuR,1,405,NE,Non
PA0290,,1,405,NE,Non
